Bin Center, Count
0.9405, 1116
0.9415, 1101
0.9425, 1051
0.9435, 1044
0.9445, 1088
0.9455, 1102
0.9465, 1072
0.9475, 1124
0.9485, 1104
0.9495, 1108
0.9505, 1106
0.9515, 1095
0.9525, 1122
0.9535, 1091
0.9545, 1112
0.9555, 1137
0.9565, 1140
0.9575, 1105
0.9585, 1126
0.9595, 1095
0.9605, 1129
0.9615, 1104
0.9625, 1140
0.9635, 1109
0.9645, 1158
0.9655, 1105
0.9665, 1166
0.9675, 1145
0.9685, 1141
0.9695, 1167
0.9705, 1218
0.9715, 1164
0.9725, 1179
0.9735, 1186
0.9745, 1231
0.9755, 1191
0.9765, 1135
0.9775, 1148
0.9785, 1202
0.9795, 1171
0.9805, 1168
0.9815, 1241
0.9825, 1224
0.9835, 1261
0.9845, 1215
0.9855, 1257
0.9865, 1199
0.9875, 1262
0.9885, 1286
0.9895, 1266
0.9905, 1245
0.9915, 1268
0.9925, 1212
0.9935, 1286
0.9945, 1248
0.9955, 1263
0.9965, 1252
0.9975, 1306
0.9985, 1291
0.9995, 1305
1.0005, 1273
1.0015, 1276
1.0025, 1322
1.0035, 1278
1.0045, 1285
1.0055, 1314
1.0065, 1320
1.0075, 1332
1.0085, 1378
1.0095, 1391
1.0105, 1317
1.0115, 1311
1.0125, 1334
1.0135, 1409
1.0145, 1397
1.0155, 1395
1.0165, 1386
1.0175, 1406
1.0185, 1392
1.0195, 1419
1.0205, 1452
1.0215, 1424
1.0225, 1499
1.0235, 1409
1.0245, 1453
1.0255, 1434
1.0265, 1514
1.0275, 1518
1.0285, 1415
1.0295, 1534
1.0305, 1481
1.0315, 1517
1.0325, 1499
1.0335, 1554
1.0345, 1583
1.0355, 1561
1.0365, 1574
1.0375, 1660
1.0385, 1663
1.0395, 1566
1.0405, 1658
1.0415, 1639
1.0425, 1685
1.0435, 1693
1.0445, 1674
1.0455, 1699
1.0465, 1701
1.0475, 1772
1.0485, 1843
1.0495, 1765
1.0505, 1792
1.0515, 1810
1.0525, 1908
1.0535, 1867
1.0545, 1860
1.0555, 1964
1.0565, 1804
1.0575, 1981
1.0585, 1893
1.0595, 1907
1.0605, 2039
1.0615, 1739
1.0625, 960
1.0635, 1047
1.0645, 1041
1.0655, 1013
1.0665, 1041
1.0675, 1039
1.0685, 1038
1.0695, 1046
1.0705, 1001
1.0715, 1021
1.0725, 1099
1.0735, 1048
1.0745, 1002
1.0755, 993
1.0765, 984
1.0775, 997
1.0785, 971
1.0795, 981
1.0805, 957
1.0815, 987
1.0825, 975
1.0835, 901
1.0845, 968
1.0855, 1027
1.0865, 932
1.0875, 909
1.0885, 951
1.0895, 926
1.0905, 940
1.0915, 939
1.0925, 878
1.0935, 966
1.0945, 961
1.0955, 902
1.0965, 927
1.0975, 857
1.0985, 865
1.0995, 891
1.1005, 870
1.1015, 896
1.1025, 927
1.1035, 862
1.1045, 896
1.1055, 926
1.1065, 856
1.1075, 912
1.1085, 832
1.1095, 885
1.1105, 901
1.1115, 867
1.1125, 824
1.1135, 874
1.1145, 812
1.1155, 826
1.1165, 826
1.1175, 818
1.1185, 877
1.1195, 811
1.1205, 787
1.1215, 737
1.1225, 754
1.1235, 772
1.1245, 755
1.1255, 748
1.1265, 749
1.1275, 772
1.1285, 786
1.1295, 706
1.1305, 731
1.1315, 670
1.1325, 658
1.1335, 733
1.1345, 692
1.1355, 670
1.1365, 647
1.1375, 674
1.1385, 664
1.1395, 606
